,Description,ASIN,Product Description,Manufacturer
20,"  Outer material: synthetic, color: brown    Waterproof    Capacity: 20 liters; Weight: 560 grams; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH)    Number of compartments: 2    Laptop compatibility: yes, laptop size: 16strap type: adjustable    Anti theft waterproof bag with anti sweat fabric on back and shoulder straps    USB and headphone cable slot   ",B07G4F6XFH,From the manufacturer,Gear Merchandise PVT LTD
21,"  HIGH QUALITY FABRIC: Our lightweight yet durable bags are made of 100% polyester and water resistant fabric. This casual backpack can be by boys and girls for school, college, coaching, tution, or everyday outings.    FRONT POCKET: Our trendy unisex bag pack has a front storage pocket that keeps small items neatly organized and easy to access    MESH POCKET: Our fancy and stylish backpacks have mesh pockets on both sides to accommodate your water bottle and umbrella    COMFORT: Our 26 liter bag has mesh padding on back to help carry heavy items. It also provides superior comfort with padded adjustable shoulder straps; WARRANTY: All of our bags come with 1-year International Warranty against manufacturing defects    Age Range Description: Adult; Closure Type: Zipper   ",B09B26VHXV,From the manufacturer,  Safari Industries
22,"  The Lino wheel Duffle Bag from Lavie Sport is a voluminous yet lightweight travel duffle. Made of high quality and durable materials, it provides the same function as a large-sized suitcase.Perfect travel duffle for weekend getaways.    Built to last: This duffle bag for travel features a combi-lock, shoulder strap, fully lined interior and is built with high-quality polyester fabric for the utmost durability. Made from water repellent & premium zippers, it makes it a super durable and lightweight all-weather travel duffle bag.    Plenty of Space & Easy to carry: The front side features a zippered pocket that is perfect to store quick access essentials. Lino luggage bags for travel have sturdy heavy-duty treaded rubber wheels in a protective wheel housing and retractable trolley for smooth mobility and maximum durability.    External Dimension: Length – 63cm, Width – 30cm, Height – 32cm, Capacity - 60 Litres.    Manufacturer warranty - 2 years   ",B097RJ22Q3,From the manufacturer,Bagzone Lifestyle Pvt Ltd
23,unknown,Unkown,unknown,Unkown
24,"  This lightweight and spacious laptop bag with 3 compartments contains a dedicated 360 degree protected laptop compartment (up to 17""), so you can you can transport your tech with peace of mind. A Spacious second compartment for essentials like books and files, and a third compartment for extra items. Also features padded shoulder straps and side pockets for water bottles.    Carry your books and belongings with ease with this comfortable and durable bagpack! Featuring wide, padded, and adjustable shoulder straps and a padded back, this backpack can handle even heavy loads. Made with strong yet lightweight polyester fabric and heavy-duty zippers, it's built to last. Plus, it comes with a rain cover, perfect for those rainy school or college days.    Make a statement on your next trip with our smart and stylish backpack! With a trendy and athletic design, this multipurpose backpack is the perfect combination of style and adventure. Your trips, travel experience cannot get completed without this amazing trekking backpack.    Experience enduring and long-lasting performance with our backpack! Made with highly durable material, this backpack is suitable for all weather conditions, including heavy rains and extreme heat. It not only keeps your belongings safe but also resists damage to itself. So, don't settle for anything less.    FEATURES: Rain Cover, upto 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc           ",B09VCLZ3K4,Product Description Water-Proof Premium Quality Safe Packaging Travel School Office,  Amazing Bags
25,"  Pattern Type : Pure Color || Closure Type : Zipper || Gender : Unisex    Material : Snow Yarn Polyester Fabric || Handle/Strap Type : Soft Handle/Adjustable Shoulder Straps    Dimensions : 12.5 * 18 Inch || Capacity : 25 Litre || Fit for 15.6 Inch Laptops/Notebooks    Two Side Water Bottle Pockets || One Main Compartment And A Front Pocket    Eco-friendly, Durable, Lightweight, Flexible And Water-Resistant Material Helps To Keep The Interior Dry   ",B07PLKV6D1,"Product Description Ergonomic Contoured Shape With a slim, sleek and compact design you will love how this backpack can look small and compact even though it has 2 spacious compartments to store your gadgets, books, keys and even a water bottle! Fits Your Laptop You can take along your gadgets with you to office, college or anywhere with this backpack, as it has got allotted storage space that fits a laptop of up-to 15.6 inches. Strong and Lightweight Designed with great quality materials that are waterproof, tough and durable, this backpack is like no other as it features a lightweight design that is easy to maintain as well. Padded Back Straps The back straps of the backpack are padded to give the user maximum support and it made with anti-sweat fabric, giving you the comfort throughout the day. Spacious Storage Featuring 2 compartments, the main compartment and a front compartment to store smaller objects/pens/thin notebooks etc. It also includes a laptop sleeve with a Velcro strap for safety. Back Support It won’t feel uneasy to carry heavy things for a longer time with this bag as it has a cushioned back support that distributes weight evenly between your shoulders and back. A Bag for any weather Be it those stormy rainy season, scorching heat, or freezing winters, this bag can endure as it is crafted, designed and made with quality and tough materials.",‎Wesley
26,"  Care Instructions: Wipe with Damp Cloth    PADDED LAPTOP COMPARTMENT WITH MAXED OUT STORAGE : Generous 32 Ltrs backpack with Dimension of 32 Cm x 22 Cm x 45 Cm, 2 full size compartments, 1 front zipper & 2 side pockets, Fits upto 15.6 inches Laptop with elasticated strap lock at just 590 grams.    CRAFTED WITH PRECISION : Made with strong, water resistant Polyester fabric and faux leather for a lightweight and durable finish. Our polestar Vintage backpack is a blend of style and utility. A classic design with opulent detailing and vegan leather material adds to your style and keeps your belongings safe.    COMFORTABLE CARRY : This strong and impervious backpack is a fabulous choice for daily use. Guaranteed for strength and durability, it has padded breathable mesh back and adjustable straps. The interiors have added foam padding to protected electronics. Ergo-Grip Backstraps that distribute weight evenly over your shoulders and back, while the integrated top grab handle lets you move effortlessly.    BENEFITS: 2 main compartments provide optimal organisation, with premium zippers keeping your valuables protected, two side water bottle pockets help keep your goods dry and body hydrated.    VERSATILITY : This made in india versatile backpack comes with 12 months warranty, and is perfect for everyone, men, women, students, boys & girls, can be used as school, college, office or day travelling backpacks. All in one VINTAGE BACKPACK by Polestar.   ",B081GSQ9D9,"Product Description DURABLE AND PREMIUM Made with strong, water resistant Polyester fabric for a lightweight and durable finish. Our polestar backpack is designed thoughtfully for your perfect on the go lifestyle. ERGONOMIC DESIGN Made for maximum Comfort, it has padded breathable mesh back and adjustable straps. S-curved Ergo-Grip straps that distribute weight evenly over your shoulders and back. VERSATILITY We aim to provide optimal organisation with 2 main compartments, premium zippers, 1 front pocket and 2 side water bottle pockets along with easy to carry top loop. Features PREMIUM ZIPS Premium quality zips that are durable for smooth operations. INNER MESH POCKET Mesh Pocket allows for easy organisation of your things. ELASTICATED STRAP LOCK Elasticated Strap Lock secures your laptop or belongings in place. Polestar Amaze Backpack Polestar Noble Blue Backpack Polestar Ranker Blue Backpack Laptop Compartment Yes Yes Yes Organiser Pocket Yes Yes Yes Material Polyester Polyester Polyester Utility Space 2 Main Compartments, 2 water bottle pockets, 1 Back secure pocket 3 Main Compartments, 2 water bottle pockets 1 front pocket, 2 Main Compartments, 1 water bottle pockets Trolley Strap No No Yes Padded shoulder strap Yes Yes Yes", POLESTAR
27,"  MULTI-FUNCTION COMPARTMENT: ZIPLINE backpack for men features with multiple storage compartments and for additional supplies and accessories such as your, iPhone, iPad, pen, keys, wallet, books, clothes, bottle, passport and more.    DURABLE MATERIAL: The school bag for boys is made up of superior quality which is durable, eco-friendly waterproof and anti-scratch polyester and featuring a reinforced bottom to withstand heavy use, perfect for business, travel, school and other outdoor activities.    COMFORTABLE DESIGN: Our school bag for boys ""S"" Curve is adjustable, heavily padded shoulder straps and back panel make the school bag more comfortable to wear even when loaded with all your gear; Compact: Backpack for men has a roomy three compartment, front zipper pockets to hold small accessories, one internal security zippered pocket for valuable items and side pockets for water bottle or umbrella and thus it is best school bags for boys.    Size:18*13*9 inch(L*W*H), Capacity: The college bag has capacity of 36.5L which is bigger than others of the same style. Good size for school bags, college bag, camping, travel, shopping, hiking, climbing, vintage backpack for men and women.; Age Range Description: Kid; Special Features: Water Bottle Umbrella Pouch; Pocket Description: Utility Pocket    Compartment Description: The backpack for men is not laptop compatible; Warranty Description: 1 Year From The Date Of Purchase, Water Resistance Level: Waterproof   ",B07XVMR33Q,"Product Description Make your own style statement. Zipline Casual Polyester Backpack For most of us, backpacks are a part of the daily arsenal – an essential tool for 21st-century life. But even if you’re no stranger to swinging a kettlebell around your back, there’s no escaping the heft this poses. If you need to lug your books or essentials things around all day, you’ll need a backpack. With us, you don’t have to worry about getting the best of it. Features: COMPACT COMFORTABLE DESIGN DURABLE MATERIAL MULTI-FUNCTION COMPARTMENT COMPACT Get Your Space! Backpack has a roomy Three compartment, front zipper pockets to hold small accessories, one internal security zippered pocket for valuable items and side pockets for water bottle or umbrella. COMFORTABLE DESIGN Finish like no other Our backpack's ""S"" Curve adjustable, heavily padded shoulder straps and back panel make the backpack comfortable to wear even when loaded with all your gear. DURABLE MATERIAL Just the way you like it. Superior quality durable, Natural, waterproof and anti-scratch polyester and featuring a reinforced bottom to withstand heavy use. MULTI-FUNCTION COMPARTMENT Perfect like you. Backpack features multiple storage compartments and features for additional supplies and accessories as your, iPhone, iPad, pen, keys, wallet, books, clothes, bottle, passport and more.",  Atulitu Agency
28,"  100% Polyester, High Quality, Durable and Water Resistant Fabric    2 compartment backpack with a padded sleeve for laptops, can hold upto 17 inch laptop/notebook    Front storage pocket keeps smaller items neatly organized and easy to access    Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects    Age Range Description: Adult; Closure Type: Zipper; Special Features: Lightweight   ",B09B25Z8M2,From the manufacturer,  Safari Industries
29,"  100% Polyester, High Quality, Durable and Water Resistant Fabric    2 compartment backpack with a padded sleeve for laptops, can hold upto 17 inch laptop/notebook    Front storage pocket keeps smaller items neatly organized and easy to access    Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects    Special Features: Lightweight; Closure Type: Zipper; Age Range Description: Adult   ",B09B28TKLG,From the manufacturer,  Safari Industries
30,"  A super-slim backpack for men design, trendy looks and durable construction - this stylish 36 L backpack from ZIPLINE has got everything that will complement your youthful personality.This college bag has spacious interiors, this unisex backpack is a great option for short road trips, college and work. Ergonomic design of this school bag for boys are crafted from polyester, this medium school bag is sturdy enough to withstand regular wear and tear gracefully.    Zipline laptop bag for men features a cushioned base and internal back padding to offer you extra comfort. The padded shoulder straps of this school bag for boys can be easily adjusted according to your liking. Spacious backpack is featuring with four pockets and three main compartments all with speciality zippers, this office bag for men offers you enough space to carry your books, files, travel accessories, stationery, keys and mobile accessories. It comes with the ZIPLINE promise of quality.    The lighter your college Bag, the more you’ll enjoy hiking. With this in mind, we've ensured that the Zipline college bag weighs very light, and does not add extra weight to your back.    The Zipline school bag has been provided with a bouncy mesh that prevents sweatiness by allowing air flow. The padded back panel of this school bag and shoulder straps helps make carrying heavier loads easier and more comfortable.    Highly Durable and Water Resistant fabric have been used in this school bag for boys   ",B08WQ668WJ,"Product Description Made with superior quality This backpack is crafted with superior quality anti-scratch polyester material & featuring a reinforced bottom to withstand heavy use, perfect for business, travel, school, college and other outdoor activities. It shows your outstanding temperament. Compact Design This backpack has a three roomy compartment, front durable metal zipper & side mesh pockets to hold small accessories, one internal security zippered pocket for valuable items and side pockets for water bottle or umbrella. Ideal For Every Place The soft Zipline backpack is classic and vintage to give you modern look and feel. It comes with heavily padded shoulder straps and back panel to make the backpack comfortable to wear even when loaded with all your gear. Impressive design Enduring construct Statement colors",  Atulitu Agency
31,"  Adjustable Shoulder Handles / Two Bottle holders / Padded Handle / Reflector Logo    Dimensions : LxWxH- 31 x 18 x 47 cms    Laptop : 15.6 inches and below (Bigger than 15.6 not recommended)    No. of Compartments : 3 with full padding    NOT INCLUDED : NO RAIN COVER, Laptop, Headphones & Cable (Images only for display)           ",B07F3X45WZ,"Product Description About us A sporty versatile Laptop Backpack from ADISA, made of Polyester. It has a top opening with 3 compartments for quick & easy access to essentials while the mesh padding on the back panel will feel comfortable, even on a hot day. This backpack can be carried in 2 ways as it has an additional front handle to hold it in case you’re unable to carry it on your back. Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside, with padding for safety, and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort. Separate Laptop Compartment One separate laptop compartment that can hold up to 15.6 Inch Laptop. Multiple compartments and Organiser can store lots of stuff, that too organized.Its padded, adjustable shoulder straps do not put pressure on the shoulders. Foamed padded top handle is easy on your palm and fingers. Large Main Compartment Fits up to 15.6 Inch Laptops (Laptops bigger than 15.6 inches not recommended)Thin clothes, headset, books, magazine, camera, CD's, etcFor Phones, pens, keys, wallets, purses, glasses, and other small itemsDurable elasticized mesh pockets on both sides fit water bottles, a small compact umbrella, and other items Earphone Slot Made with strong yet lightweight polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all with the charging system, i.e. adults, teens, boys, girls.Its padded, adjustable shoulder straps do not put pressure on the shoulders. Foamed padded top handle is easy on your palm and fingers. Lightweight With comfort and functionality as priorities, lots of people now use backpacks for their everyday this 35-litre medium sized backpack would also be ideal for those thinking of an overnight trip. Complete with all the features of a daypack but with additional padding, pockets and fixing points for all the extra equipment you’ll need for a longer trip, the ADISA backpack is designed for multi-day use. Multiple Compartments Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside, with padding for safety, and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. And third compartment is for your extra stuff.It has provision for holding bottles on both sides and has padded shoulder straps for your comfort. COLOR VARIATIONS",   ADISA
